Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #82: correct=False, output='((8 - 5) * 8)  = 24' ; accuracy=0.463 (38/82)
Case #83: correct=True, output='(12 / 6) * 8 + 8  = 24' ; accuracy=0.470 (39/83)
Case #84: correct=True, output='(9 / 3) * (4 * 2)  = 24' ; accuracy=0.476 (40/84)
Case #85: correct=True, output='(2 * (7 + 11 - 6))  = 24' ; accuracy=0.482 (41/85)
Case #86: correct=True, output='((5 + 9) - 12) * 12  = 24' ; accuracy=0.488 (42/86)
Case #87: correct=False, output=None ; accuracy=0.483 (42/87)
Case #88: correct=True, output='(6 - 2) * 5 + 4  = 24' ; accuracy=0.489 (43/88)
Case #89: correct=True, output='(13 - 5) * (8 - 5)  = 24' ; accuracy=0.494 (44/89)
Case #90: correct=True, output='(3 * (3 + 10 / 2))  = 24' ; accuracy=0.500 (45/90)
Case #91: correct=False, output='(4 * 3) * (12 / 8)  = 18.0' ; accuracy=0.495 (45/91)
Case #92: correct=False, output=None ; accuracy=0.489 (45/92)
Case #93: correct=True, output='(9 * 2 - 2) + 8  = 24' ; accuracy=0.495 (46/93)
Case #94: correct=True, output='(7 - 1) * 5 - 6  = 24' ; accuracy=0.500 (47/94)
Case #95: correct=True, output='((11 - 5) + 8) + 10  = 24' ; accuracy=0.505 (48/95)
Case #96: correct=False, output='(4 + 4) * (12 - (9 - 8))  = 88' ; accuracy=0.500 (48/96)
Case #97: correct=False, output='(2 * 6) * 2  = 24' ; accuracy=0.495 (48/97)
Case #98: correct=True, output='(2 * (12 - 9)) * 4  = 24' ; accuracy=0.500 (49/98)
Case #99: correct=False, output='13 + 11  = 24' ; accuracy=0.495 (49/99)
Case #100: correct=True, output='4 * (10 - (13 - 9))  = 24' ; accuracy=0.500 (50/100)
