Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #45: correct=False, output='10 * (6 + 12 / 2) = 24' ; accuracy=0.044 (2/45)
Case #46: correct=True, output='(1 + 9 / 3) * 6  = 24' ; accuracy=0.065 (3/46)
Case #47: correct=False, output='(11 - 4) * (1 - 4) = 24' ; accuracy=0.064 (3/47)
Case #48: correct=False, output=None ; accuracy=0.062 (3/48)
Case #49: correct=False, output=None ; accuracy=0.061 (3/49)
Case #50: correct=False, output='(6 - 1) * (6 + 6) = 24' ; accuracy=0.060 (3/50)
Case #51: correct=False, output=None ; accuracy=0.059 (3/51)
Case #52: correct=False, output='3 * (11 - 8) = 24' ; accuracy=0.058 (3/52)
Case #53: correct=False, output=None ; accuracy=0.057 (3/53)
Case #54: correct=False, output='2 * (3 * (6 / 6)) = 24' ; accuracy=0.056 (3/54)
Case #55: correct=False, output='(12 * 2) * (7 - 6) = 24' ; accuracy=0.055 (3/55)
Case #56: correct=False, output=None ; accuracy=0.054 (3/56)
Case #57: correct=False, output='3 * 8 = 24' ; accuracy=0.053 (3/57)
Case #58: correct=False, output=None ; accuracy=0.052 (3/58)
Case #59: correct=False, output='(6 * 2) * (13 - 3)  = 120' ; accuracy=0.051 (3/59)
Case #60: correct=False, output=None ; accuracy=0.050 (3/60)
Case #61: correct=False, output='(8 + 13) - 9 * 2 = 24' ; accuracy=0.049 (3/61)
Case #62: correct=False, output='(10 - 8) * 12 = 24' ; accuracy=0.048 (3/62)
Case #63: correct=False, output=None ; accuracy=0.048 (3/63)
Case #64: correct=False, output=None ; accuracy=0.047 (3/64)
Case #65: correct=False, output=None ; accuracy=0.046 (3/65)
Case #66: correct=False, output='(1 + 9) * (10 - 13) = 24' ; accuracy=0.045 (3/66)
Case #67: correct=False, output=None ; accuracy=0.045 (3/67)
Case #68: correct=False, output=None ; accuracy=0.044 (3/68)
Case #69: correct=False, output=None ; accuracy=0.043 (3/69)
Case #70: correct=False, output='4 * (7 - 3) = 24' ; accuracy=0.043 (3/70)
Case #71: correct=False, output='((8 + 4) - 4) + 12 = 24' ; accuracy=0.042 (3/71)
Case #72: correct=False, output=None ; accuracy=0.042 (3/72)
Case #73: correct=False, output=None ; accuracy=0.041 (3/73)
Case #74: correct=False, output='((5 * 6) - 6) * 8 = 24' ; accuracy=0.041 (3/74)
Case #75: correct=False, output=None ; accuracy=0.040 (3/75)
Case #76: correct=False, output=None ; accuracy=0.039 (3/76)
Case #77: correct=False, output='(3 + 9) + (3 * 12) = 24' ; accuracy=0.039 (3/77)
Case #78: correct=False, output='(3 * 15) - 21 = 24' ; accuracy=0.038 (3/78)
Case #79: correct=False, output='(13 - 4) * (12 * 2) = 24' ; accuracy=0.038 (3/79)
Case #80: correct=False, output='(2 * 12) - (3 * 10) = 24' ; accuracy=0.037 (3/80)
Case #81: correct=False, output=None ; accuracy=0.037 (3/81)
Case #82: correct=False, output='(8 * 5) - (8 - 8) = 24' ; accuracy=0.037 (3/82)
Case #83: correct=False, output='((8 * 6) / 8) * 12 = 24' ; accuracy=0.036 (3/83)
Case #84: correct=False, output=None ; accuracy=0.036 (3/84)
Case #85: correct=False, output='6 * (11 - 7) = 24' ; accuracy=0.035 (3/85)
Case #86: correct=False, output=None ; accuracy=0.035 (3/86)
Case #87: correct=False, output=None ; accuracy=0.034 (3/87)
Case #88: correct=True, output='((2 + 4) * 5) - 6 = 24' ; accuracy=0.045 (4/88)
Case #89: correct=True, output='(13 - 5) * (8 - 5)  = 24' ; accuracy=0.056 (5/89)
Case #90: correct=False, output=None ; accuracy=0.056 (5/90)
Case #91: correct=False, output=None ; accuracy=0.055 (5/91)
Case #92: correct=False, output=None ; accuracy=0.054 (5/92)
Case #93: correct=False, output='((9 - 4) * 2) * 8 = 24' ; accuracy=0.054 (5/93)
Case #94: correct=False, output='(6 * 2) * (7 - 5)  = 24' ; accuracy=0.053 (5/94)
Case #95: correct=False, output=None ; accuracy=0.053 (5/95)
Case #96: correct=False, output='4 * (4 * 9 - 12) = 24' ; accuracy=0.052 (5/96)
Case #97: correct=False, output='(6 * (6 - 3)) + 6 = 24' ; accuracy=0.052 (5/97)
Case #98: correct=True, output='((9 * 2) - 12) * 4 = 24' ; accuracy=0.061 (6/98)
Case #99: correct=False, output=None ; accuracy=0.061 (6/99)
Case #100: correct=False, output='13 - (1 - 9) * 10 = 24' ; accuracy=0.060 (6/100)
