Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #45: correct=True, output='6 * (12 / (13 - 10))  = 24' ; accuracy=0.333 (15/45)
Case #46: correct=False, output='(9 - 1) * (9 - 3)  = 48' ; accuracy=0.326 (15/46)
Case #47: correct=False, output='4 * (10 - 4)  = 24' ; accuracy=0.319 (15/47)
Case #48: correct=False, output='(10 - 2) * (9 - 3)  = 48' ; accuracy=0.312 (15/48)
Case #49: correct=False, output='(13 - 1) * (3 * 2)  = 72' ; accuracy=0.306 (15/49)
Case #50: correct=False, output=None ; accuracy=0.300 (15/50)
Case #51: correct=False, output=None ; accuracy=0.294 (15/51)
Case #52: correct=False, output=None ; accuracy=0.288 (15/52)
Case #53: correct=False, output='(13 - (10 - 5)) * 3  = 24' ; accuracy=0.283 (15/53)
Case #54: correct=False, output='6 * (6 / 2 * 3)  = 54.0' ; accuracy=0.278 (15/54)
Case #55: correct=True, output='6 * (12 / (10 - 7))  = 24' ; accuracy=0.291 (16/55)
Case #56: correct=False, output='(12 * 8 / 8) * 7  = 84.0' ; accuracy=0.286 (16/56)
Case #57: correct=True, output='(3 * 4) * (8 - 6)  = 24' ; accuracy=0.298 (17/57)
Case #58: correct=True, output='(11 + 1) * (9 - 7)  = 24' ; accuracy=0.310 (18/58)
Case #59: correct=False, output='6 * (13 - 2 - 3)  = 48' ; accuracy=0.305 (18/59)
Case #60: correct=False, output='(2 * (5 - 2)) * 4  = 24' ; accuracy=0.300 (18/60)
Case #61: correct=False, output='6 * (8 * (13 - 2))  = 528' ; accuracy=0.295 (18/61)
Case #62: correct=False, output='8 * (10 - (12 - 8))  = 48' ; accuracy=0.290 (18/62)
Case #63: correct=False, output='(13 - 1) * (8 * 3)  = 288' ; accuracy=0.286 (18/63)
Case #64: correct=False, output='(10 * 4) - (7 * 4)  = 12' ; accuracy=0.281 (18/64)
Case #65: correct=False, output=None ; accuracy=0.277 (18/65)
Case #66: correct=True, output='(13 - 10) * (9 - 1)  = 24' ; accuracy=0.288 (19/66)
Case #67: correct=False, output='(4 * 3) * (11 - 3)  = 96' ; accuracy=0.284 (19/67)
Case #68: correct=False, output='(5 * 2) * (7 * 7 / 10)  = 49.0' ; accuracy=0.279 (19/68)
Case #69: correct=False, output=None ; accuracy=0.275 (19/69)
Case #70: correct=False, output='(3 * (7 * 4 / 2))  = 42.0' ; accuracy=0.271 (19/70)
Case #71: correct=False, output='(4 * (12 - 4)) * 8  = 256' ; accuracy=0.268 (19/71)
Case #72: correct=False, output='(10 - 1) * (6 * 2)  = 108' ; accuracy=0.264 (19/72)
Case #73: correct=False, output=None ; accuracy=0.260 (19/73)
Case #74: correct=False, output=None ; accuracy=0.257 (19/74)
Case #75: correct=False, output=None ; accuracy=0.253 (19/75)
Case #76: correct=False, output=None ; accuracy=0.250 (19/76)
Case #77: correct=True, output='(12 / 3) * 3 * 2  = 24' ; accuracy=0.260 (20/77)
Case #78: correct=False, output='(10 * 3) / 5 * 7  = 42.0' ; accuracy=0.256 (20/78)
Case #79: correct=False, output=None ; accuracy=0.253 (20/79)
Case #80: correct=True, output='3 * (10 * 2 - 12)  = 24' ; accuracy=0.263 (21/80)
Case #81: correct=False, output='(4 * (6 / 3)) * 6  = 48.0' ; accuracy=0.259 (21/81)
Case #82: correct=False, output=None ; accuracy=0.256 (21/82)
Case #83: correct=True, output='6 * (8 - (12 - 8))  = 24' ; accuracy=0.265 (22/83)
Case #84: correct=False, output='(4 * 2) * (9 - 3)  = 48' ; accuracy=0.262 (22/84)
Case #85: correct=False, output='(11 - 7) * 2 * 3  = 24' ; accuracy=0.259 (22/85)
Case #86: correct=False, output='(12 - 5) * (9 - 7)  = 14' ; accuracy=0.256 (22/86)
Case #87: correct=False, output=None ; accuracy=0.253 (22/87)
Case #88: correct=False, output=None ; accuracy=0.250 (22/88)
Case #89: correct=True, output='(13 - 5 - 5) * 8  = 24' ; accuracy=0.258 (23/89)
Case #90: correct=False, output=None ; accuracy=0.256 (23/90)
Case #91: correct=False, output=None ; accuracy=0.253 (23/91)
Case #92: correct=False, output=None ; accuracy=0.250 (23/92)
Case #93: correct=False, output='8 * ((9 - 2) * 2)  = 112' ; accuracy=0.247 (23/93)
Case #94: correct=False, output=None ; accuracy=0.245 (23/94)
Case #95: correct=False, output='8 * (16 - 10)  = 48' ; accuracy=0.242 (23/95)
Case #96: correct=False, output='(9 - 4) * 4 + 12  = 32' ; accuracy=0.240 (23/96)
Case #97: correct=True, output='(5 * 2 - 6) * 6  = 24' ; accuracy=0.247 (24/97)
Case #98: correct=False, output='(3 * 2) * (12 / 4)  = 18.0' ; accuracy=0.245 (24/98)
Case #99: correct=False, output='(4 * (13 - 11)) * 3  = 24' ; accuracy=0.242 (24/99)
Case #100: correct=True, output='4 * (10 - (13 - 9))  = 24' ; accuracy=0.250 (25/100)
