Case #1: correct=False, output=None ; accuracy=0.000 (0/1)
Case #57: correct=False, output='6 * (4 + 8) = 24' ; accuracy=0.018 (1/57)
Case #58: correct=False, output=None ; accuracy=0.017 (1/58)
Case #59: correct=False, output=None ; accuracy=0.017 (1/59)
Case #60: correct=False, output=None ; accuracy=0.017 (1/60)
Case #61: correct=False, output=None ; accuracy=0.016 (1/61)
Case #62: correct=False, output='(8 + 10) * 2 = 24' ; accuracy=0.016 (1/62)
Case #63: correct=False, output=None ; accuracy=0.016 (1/63)
Case #64: correct=False, output=None ; accuracy=0.016 (1/64)
Case #65: correct=False, output=None ; accuracy=0.015 (1/65)
Case #66: correct=False, output=None ; accuracy=0.015 (1/66)
Case #67: correct=False, output=None ; accuracy=0.015 (1/67)
Case #68: correct=False, output=None ; accuracy=0.015 (1/68)
Case #69: correct=False, output=None ; accuracy=0.014 (1/69)
Case #70: correct=False, output=None ; accuracy=0.014 (1/70)
Case #71: correct=False, output=None ; accuracy=0.014 (1/71)
Case #72: correct=False, output=None ; accuracy=0.014 (1/72)
Case #73: correct=False, output=None ; accuracy=0.014 (1/73)
Case #74: correct=False, output=None ; accuracy=0.014 (1/74)
Case #75: correct=False, output=None ; accuracy=0.013 (1/75)
Case #76: correct=False, output=None ; accuracy=0.013 (1/76)
Case #77: correct=False, output=None ; accuracy=0.013 (1/77)
Case #78: correct=False, output='(3 * 15) - 21 = 24' ; accuracy=0.013 (1/78)
Case #79: correct=False, output=None ; accuracy=0.013 (1/79)
Case #80: correct=False, output=None ; accuracy=0.013 (1/80)
Case #81: correct=False, output=None ; accuracy=0.012 (1/81)
Case #82: correct=False, output=None ; accuracy=0.012 (1/82)
Case #83: correct=False, output=None ; accuracy=0.012 (1/83)
Case #84: correct=False, output=None ; accuracy=0.012 (1/84)
Case #85: correct=False, output=None ; accuracy=0.012 (1/85)
Case #86: correct=False, output='(5 * 9) * (12 - 12) = 24' ; accuracy=0.012 (1/86)
Case #87: correct=False, output=None ; accuracy=0.011 (1/87)
Case #88: correct=False, output='(2 + 4) * (5 - 6) = 24' ; accuracy=0.011 (1/88)
Case #89: correct=False, output=None ; accuracy=0.011 (1/89)
Case #90: correct=False, output=None ; accuracy=0.011 (1/90)
Case #91: correct=False, output='(3 * 4 + 8) * 12 = 24' ; accuracy=0.011 (1/91)
Case #92: correct=False, output=None ; accuracy=0.011 (1/92)
Case #93: correct=False, output=None ; accuracy=0.011 (1/93)
Case #94: correct=False, output=None ; accuracy=0.011 (1/94)
Case #95: correct=False, output=None ; accuracy=0.011 (1/95)
Case #96: correct=False, output=None ; accuracy=0.010 (1/96)
Case #97: correct=False, output=None ; accuracy=0.010 (1/97)
Case #98: correct=False, output=None ; accuracy=0.010 (1/98)
Case #99: correct=False, output=None ; accuracy=0.010 (1/99)
Case #100: correct=False, output=None ; accuracy=0.010 (1/100)
